date,pnl
2016-02-26,-0.003833366992718083
2016-02-29,-0.006690214549819821
2016-03-01,0.026684984972565287
2016-03-02,0.004013905650943134
2016-03-03,-0.001041497487962389
2016-03-04,0.001978600668707132
2016-03-07,0.0041345000356364445
2016-03-08,-0.017391593262015535
2016-03-09,0.0005348211123079691
2016-03-10,0.0022193978623415707
2016-03-11,0.016899674104987418
2016-03-14,-0.0016179604694706994
2016-03-15,0.0003678656900575354
2016-03-16,0.00819423108239736
2016-03-17,0.010653141115831728
2016-03-18,0.008934616977358053
2016-03-21,0.005104697091181748
2016-03-22,-0.002902717652976537
2016-03-23,-0.0056560422222072275
2016-03-24,0.00022588441453375485
2016-03-28,-0.0002502677872615542
2016-03-29,0.01231686996794245
2016-03-30,0.003543401692566633
2016-03-31,0.003087528072464093
2016-04-01,0.004933485247068502
2016-04-04,-0.00687281648080769
2016-04-05,-0.012601403396784323
2016-04-06,0.010846229353919688
2016-04-07,-0.016887659855016925
2016-04-08,0.0014362756346276405
2016-04-11,-0.004876090208586902
2016-04-12,0.006545428090195055
2016-04-13,0.007802253278496732
2016-04-14,-0.007034731095056598
2016-04-15,0.004151892007191501
2016-04-18,0.010038513692792028
2016-04-19,-0.0030356520233645826
2016-04-20,0.00200957054231743
2016-04-21,-0.007354150062951311
2016-04-22,0.005789835637415727
2016-04-25,0.0033146992164601904
2016-04-26,0.0011796796429173976
2016-04-27,0.0007968468523648817
2016-04-28,-0.007651015950842371
2016-04-29,-0.014499548290362263
2016-05-02,0.010050347500374474
2016-05-03,-0.012710255474078811
2016-05-04,-0.008327681866909607
2016-05-05,-0.013081086008087772
2016-05-06,-0.002508324770338085
2016-05-09,0.0030694128497511745
2016-05-10,0.017908929939437657
2016-05-11,-0.021569099888538747
2016-05-12,-0.0014757020144429926
2016-05-13,-0.006998956448707978
2016-05-16,0.010704908750750974
2016-05-17,-0.004697751435477017
2016-05-18,0.008223321501023832
2016-05-19,-0.0077387393172075845
2016-05-20,0.012246280843023118
2016-05-23,0.0008410023996209386
2016-05-24,0.026155027458990975
2016-05-25,-0.0005738685209810165
2016-05-26,0.00978125348063817
2016-05-27,0.004524693414698022
2016-05-31,0.008439051792482274
2016-06-01,0.007584219723862661
2016-06-02,-0.000724952152848552
2016-06-03,-0.0023719168806061054
2016-06-06,0.005403646349250893
2016-06-07,-0.0011868714066546595
2016-06-08,0.0016622924068485764
2016-06-09,-0.0074828731700041975
2016-06-10,-0.009663242180473701
